Track Name;Artist;YouTube Link
Hold Me Closer;Elton John;https://www.youtube.com/watch?v=qExVlz3zb0k
SNAP;Rosa Linn;https://www.youtube.com/watch?v=Lo4_K4relMg
Until I Found You;Stephen Sanchez;https://www.youtube.com/watch?v=GxldQ9eX2wo
Made You Look;Meghan Trainor;https://www.youtube.com/watch?v=gPCCYMeXin0
Midnight Rain;Taylor Swift;https://www.youtube.com/watch?v=Odh9ddPUkEY
Big Energy;Latto;https://www.youtube.com/watch?v=T8GpG8C0YzA
Doja;Central Cee;https://www.youtube.com/watch?v=m4_9TFeMfJE
pushin P (feat. Young Thug);Gunna;https://www.youtube.com/watch?v=-705T4FioZE
Thousand Miles;The Kid LAROI;https://www.youtube.com/watch?v=z04o40nPQMU
Cruel Summer;Taylor Swift;https://www.youtube.com/watch?v=ic8j13piAhQ
TQG;KAROL G;https://www.youtube.com/watch?v=jZGpkLElSu8
MONACO;Bad Bunny;https://www.youtube.com/watch?v=_PJvpq8uOZM
I KNOW ?;Travis Scott;https://www.youtube.com/watch?v=X7aF3nZOS98
Escapism.;RAYE;https://www.youtube.com/watch?v=Dll6VJ2C7wo
Last Night;Morgan Wallen;https://www.youtube.com/watch?v=AxFhwtwiw6o
Dance The Night - From Barbie The Album;Dua Lipa;https://www.youtube.com/watch?v=OiC1rgCPmUQ
Cupid - Twin Ver.;FIFTY FIFTY;https://www.youtube.com/watch?v=5Ejp7yFZxPM
Chemical;Post Malone;https://www.youtube.com/watch?v=IzPQ_jA00bk
I Remember Everything (feat. Kacey Musgraves);Zach Bryan;https://www.youtube.com/watch?v=ZVVvJjwzl6c
Is It Over Now? (Taylor's Version) (From The Vault);Taylor Swift;https://www.youtube.com/watch?v=tNxUxm3-658
Until I Found You (with Em Beihold) - Em Beihold Version;Stephen Sanchez;https://www.youtube.com/watch?v=kPlSyYtE63M
On My Mama;Victoria Monét;https://www.youtube.com/watch?v=KdJ-Qwu3y4Y
Barbie World (with Aqua) [From Barbie The Album];Nicki Minaj;https://www.youtube.com/watch?v=CUj2AWEJnwQ
La Bebe - Remix;Yng Lvcas;https://www.youtube.com/watch?v=3mchJ-EW9rM
K-POP;Travis Scott;https://www.youtube.com/watch?v=_kS7F4VpJa0
Houdini;Dua Lipa;https://www.youtube.com/watch?v=suAR1PYFNYA
Moonlight;Kali Uchis;https://www.youtube.com/watch?v=8F7Q-4PZCjA
get him back!;Olivia Rodrigo;https://www.youtube.com/watch?v=ZsJ-BHohXRI
Super Shy;NewJeans;https://www.youtube.com/watch?v=ArmDp-zijuc
Nonsense;Sabrina Carpenter;https://www.youtube.com/watch?v=YcSP1ZUf1eQ
Romantic Homicide;d4vd;https://www.youtube.com/watch?v=eKL3TceSxvk
I Wanna Be Yours;Arctic Monkeys;https://www.youtube.com/watch?v=nyuo9-OjNNg
